marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
VOLKSWAGEN Golf GTE 1.4 TSI,08/2020,Madrid,99.845 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Berlina,5 asientos,204 cv,5 Puertas,Blanco,20.990 €,"CLICARS MADRID
Profesional","Consumo medio
1,60
litros/100 km",No,2025-02-18 11:22:37.808198,ref15425084
SEAT Arona 1.0 TSI S&S FR DSG7 XM 110,09/2023,Madrid,12.808 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,110 cv,5 Puertas,Blanco / Metalizado,19.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:22:46.218092,ref15437916
SEAT Ibiza 1.0 TSI S&S FR XS 110,11/2023,Madrid,14.673 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Gris,16.590 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:22:52.306903,ref15438248
SEAT Ibiza 1.0 MPI Evo S&S Reference 80,11/2021,Madrid,48.150 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,80 cv,5 Puertas,Blanco,"13.490 €
4%
12.990 €","CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:22:59.173625,ref15366108
RENAULT Kadjar 1.5dCi Blue Intens 85kW,08/2020,Madrid,137.842 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Negro,15.990 €,"CLICARS MADRID
Profesional","Consumo medio
4,30
litros/100 km",No,2025-02-18 11:23:06.309208,ref15377676
TOYOTA C-HR 125H Active,02/2021,Madrid,109.273 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Todo Terreno,5 asientos,122 cv,5 Puertas,Gris / Metalizado,20.290 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:23:12.170223,ref15377692
RENAULT Mégane 1.2 TCe Energy Tech Road 74kW,06/2018,Madrid,76.068 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,100 cv,5 Puertas,Negro,13.990 €,"CLICARS MADRID
Profesional","Consumo medio
5,40
litros/100 km",No,2025-02-18 11:23:18.091745,ref15404412
AUDI A3 Sportback 30 TFSI S line S tronic,04/2023,Madrid,39.932 km,Gasolina,ECO,12 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,26.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:23:22.718035,ref15440120
FIAT 500 1.0 GSE Lounge,02/2020,Madrid,80.265 km,Gasolina,ECO,12 meses,Manual,Berlina,4 asientos,70 cv,3 Puertas,Gris,10.490 €,"CLICARS MADRID
Profesional","Consumo medio
4,70
litros/100 km",No,2025-02-18 11:23:28.853148,ref15440792
RENAULT Clio 1.0 TCe 100cv GLP Business,10/2020,Madrid,145.000 km,Híbrido,ECO,Sí,Manual,Berlina mediana o grande,,100 cv,5 Puertas,Blanco,9.900 €,"PINIAUTO MOTOR, S.L (VALDEMORO)
Profesional",,No,2025-02-18 11:24:05.554901,ref15441842
HYUNDAI Ioniq HEV 1.6 GDI Klass,05/2020,Madrid,98.000 km,Gasolina y corriente eléctrica,ECO,Sí,Automático,Berlina,5 asientos,141 cv,5 Puertas,Blanco,17.900 €,"PINIAUTO MOTOR, S.L (VALDEMORO)
Profesional","Consumo medio
3,40
litros/100 km",No,2025-02-18 11:24:12.940445,ref15058932
VOLKSWAGEN T-Roc 1.6TDI Advance Style,04/2020,Sevilla,78.000 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,20.750 €,"HIPERAUTO CORIA
Profesional","Consumo medio
4,20
litros/100 km",No,2025-02-18 11:24:19.840608,ref15441517
BMW X5 xDrive 50e xLine M Sport Pro,01/2025,Barcelona,4.100 km,Híbrido Enchufable,0 EMISIONES,36 meses,Automático,Todo Terreno,5 asientos,489 cv,5 Puertas,M Brooklyn Grey,99.500 €,"DRIVER CARS BCN
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:24:26.508846,ref15441834
NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,10/2020,Sevilla,97.000 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Negro,19.350 €,"HIPERAUTO CORIA
Profesional","Consumo medio
3,90
litros/100 km",No,2025-02-18 11:24:33.374050,ref15441483
AUDI A3 Sportback 35TDI Genuine S tronic,03/2023,Girona,34.398 km,Diesel,C,24 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Negro / Metalizado,32.500 €,"AUDI SELECTION PLUS
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:24:39.741964,ref15440695
AUDI A5 Sportback 40 TDI Black Limited quattro-ultra S tronic,10/2023,Girona,32.005 km,Diesel,ECO,24 meses,Automático,Berlina,5 asientos,204 cv,5 Puertas,Blanco,56.500 €,"AUDI SELECTION PLUS
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:24:45.581818,ref15427475
AUDI Q2 35 TDI Black line edition S tronic 110kW,08/2024,Girona,4.960 km,Diesel,C,24 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,"39.900 €
3%
38.900 €","AUDI SELECTION PLUS
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:24:52.692522,ref15139472
AUDI Q3 Sportback 35 TDI S line,01/2021,Sevilla,76.000 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Plata,32.900 €,"HIPERAUTO CORIA
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:24:58.361996,ref15377601
OPEL Zafira 1.9CDTi Enjoy 120,01/2006,Madrid,380.000 km,Diesel,B,No,Manual,Monovolumen,7 asientos,120 cv,5 Puertas,Gris,2.499 €,"FACIL CAR
Profesional","Consumo medio
6,10
litros/100 km",No,2025-02-18 11:25:03.974444,ref15438137
JEEP Avenger 1.2 Altitude 100,05/2024,Sevilla,19.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Gris,21.500 €,"HIPERAUTO CORIA
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:25:10.508622,ref15408204
HYUNDAI Tucson 1.6 CRDI 48V Maxx 4x2,01/2022,Sevilla,79.000 km,Diesel,ECO,12 meses,Manual,Todo Terreno,5 asientos,136 cv,5 Puertas,Blanco,23.350 €,"HIPERAUTO CORIA
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:25:17.390040,ref15408212
LAND-ROVER Range Rover Evoque 1.5 I3 MHEV SE FWD Aut. 160,07/2021,Alicante,49.100 km,Gasolina,ECO,12 meses,Automático,Todo Terreno,5 asientos,160 cv,5 Puertas,Gris,34.750 €,"SRK AUTOS
Profesional","Consumo medio
6,80
litros/100 km",No,2025-02-18 11:25:24.252812,ref15253552
SEAT Arona 1.0 TGI 66KW 90CV XPERIENCE PLUS,11/2021,Málaga,122.000 km,Gas,ECO,12 meses,Manual,"4x4, SUV o pickup",,90 cv,5 Puertas,Negro / Metalizado,15.990 €,"AUTOMOTOR VELEZ
Profesional",,No,2025-02-18 11:25:31.635525,ref15441833
OMODA 5 1.6 TGDI (14CV) Premium MY2,11/2024,Madrid,1.884 km,Gasolina,C,Sí,Automático,"4x4, SUV o pickup",,147 cv,5 Puertas,Gris,25.500 €,"Buyndrive - Coslada
Profesional",,No,2025-02-18 11:25:37.712698,ref15406668
OMODA 5 1.6 Premium 185,10/2024,Madrid,715 km,Gasolina,C,84 meses,Automático,Todo Terreno,5 asientos,185 cv,5 Puertas,Negro,26.900 €,"Buyndrive - Coslada
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:25:44.364275,ref14832486
RENAULT Clio TCe Zen 67kW,05/2021,Cádiz,32.555 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,90 cv,5 Puertas,Gris,15.900 €,"MOTOR ARCOS
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:26:09.269782,ref15441855
PEUGEOT 308 1.2 PureTech Access 82,01/2017,Madrid,27.019 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,82 cv,5 Puertas,Blanco,9.790 €,"CLICARS MADRID
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 11:26:14.840117,ref15410582
BMW Serie 2 Active Tourer 216d Business,02/2018,Madrid,119.500 km,Diésel,,12 meses,Automático,Familiar,,116 cv,5 Puertas,Schwarz (sólido) / Metalizado,16.450 €,"AUTOHOME
Profesional",,No,2025-02-18 11:26:20.990393,ref15424626
BMW Serie 3 320dA Luxury,08/2012,Madrid,243.000 km,Diesel,B,12 meses,Automático,Berlina,5 asientos,184 cv,4 Puertas,-,13.450 €,"AUTOHOME
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:26:26.347814,ref13078153
RENAULT Mégane 1.5dCi Dynamique 110,03/2012,Zaragoza,139.000 km,Diesel,B,12 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Blanco,7.970 €,"Mf Automocion S.L.
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:26:33.243436,ref13085788
VOLKSWAGEN Golf 2.0TDI CR BMT Sport 4Motion 150,06/2015,Zaragoza,153.000 km,Diesel,C,No,Manual,Berlina,5 asientos,150 cv,5 Puertas,Negro / Metalizado,15.340 €,"Mf Automocion S.L.
Profesional","Consumo medio
4,70
litros/100 km",No,2025-02-18 11:26:38.663737,ref15440670
PEUGEOT Rifter Active Pack Std BlueHDi 100CV (N1),10/2024,Ávila,10 km,Diésel,,Sí,Manual,Pequeño,,100 cv,5 Puertas,Blanco,24.900 €,"GRUPO SAUGAR
Profesional",,No,2025-02-18 11:26:43.885620,ref14852984
RENAULT Rafale 1.2 E-Tech Híbrido Esprit Alpine 147kW,05/2024,Ávila,4.510 km,Gasolina y corriente eléctrica,ECO,Sí,Automático,Todo Terreno,5 asientos,200 cv,5 Puertas,Azul,52.900 €,"GRUPO SAUGAR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:26:51.025484,ref15371484
RENAULT Symbioz E-TECH Full Hybrid Esprit Alpine 105kW,06/2024,Ávila,150 km,Gasolina y corriente eléctrica,ECO,Sí,Automático,Todo Terreno,5 asientos,145 cv,5 Puertas,Gris,37.900 €,"GRUPO SAUGAR
Profesional","Consumo medio
litros/100 km",No,2025-02-18 11:26:56.946417,ref14712832
DACIA Duster 1.2 TCe Extreme 4x2 96kW 48v,06/2024,Ávila,390 km,Gasolina,ECO,Sí,Manual,Todo Terreno,5 asientos,130 cv,5 Puertas,Beige,26.900 €,"GRUPO SAUGAR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:27:03.914569,ref14712750
PEUGEOT 308 SW GT Plug-in-hybrid 180CV eEAT8,03/2024,Ávila,4 km,Híbrido,ECO,Sí,Automático,Familiar,,180 cv,5 Puertas,Azul,41.900 €,"GRUPO SAUGAR
Profesional",,No,2025-02-18 11:27:08.738074,ref14712762
PEUGEOT 308 1.6 Hybrid Active Pack EAT8 180,05/2024,Ávila,4 km,Híbrido Enchufable,0 EMISIONES,Sí,Automático,Berlina,5 asientos,180 cv,5 Puertas,Blanco,34.990 €,"GRUPO SAUGAR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:27:15.738643,ref14712766
NISSAN Qashqai E-POWER N-Design 4x2 140kW,07/2024,Ávila,1.100 km,Gasolina,ECO,Sí,Automático,Todo Terreno,5 asientos,190 cv,5 Puertas,Gris,42.950 €,"GRUPO SAUGAR
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:27:20.849925,ref14712786
RENAULT Espace Blue dCi Techno EDC 139kW,01/2024,Ávila,150 km,Diesel,C,Sí,Automático,Monovolumen,5 asientos,190 cv,5 Puertas,Negro,47.750 €,"GRUPO SAUGAR
Profesional","Consumo medio
5,50
litros/100 km",No,2025-02-18 11:27:27.174077,ref14712809
RENAULT Rafale 1.2 E-Tech Híbrido Esprit Alpine 147kW,05/2024,Ávila,45 km,Gasolina y corriente eléctrica,ECO,Sí,Automático,Todo Terreno,5 asientos,200 cv,5 Puertas,Gris,50.990 €,"GRUPO SAUGAR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:27:34.107659,ref14712817
RENAULT Scenic E-Tech Iconic Gran Autonomía 160kW,05/2024,Ávila,40 km,Corriente eléctrica,0 EMISIONES,Sí,Automático,Todo Terreno,5 asientos,217 cv,5 Puertas,Blanco,54.900 €,"GRUPO SAUGAR
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:27:41.413592,ref14712825
FORD Mondeo SB 2.0TDCI Titanium PowerShift 150,09/2018,Madrid,150.392 km,Diesel,C,12 meses,Automático,Stationwagon,5 asientos,150 cv,5 Puertas,Plateado / Metalizado,14.690 €,"CLICARS MADRID
Profesional","Consumo medio
4,90
litros/100 km",No,2025-02-18 11:28:13.419524,ref15325101
DS 7 Crossback E-Tense Rivoli Aut. 4x2,02/2023,Madrid,22.388 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Todo Terreno,5 asientos,225 cv,5 Puertas,Azul / Metalizado,38.750 €,"YAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:28:18.836593,ref15441803
MERCEDES-BENZ Clase A 200 d Compacto,04/2023,Navarra,20.110 km,Diésel,C,36 meses,Automático,,,150 cv,5 Puertas,-,39.900 €,"GAZPI MERCEDES-BENZ
Profesional",,Si,2025-02-18 11:28:24.306100,ref14764356
MERCEDES-BENZ Clase A 250 e AMG Line (EURO 6d),04/2020,Navarra,76.200 km,Diésel,C,24 meses,Automático,Pequeño,,160 cv,5 Puertas,-,29.990 €,"GAZPI MERCEDES-BENZ
Profesional",,Si,2025-02-18 11:28:31.654781,ref14875830
PEUGEOT 5008 SUV 1.5BlueHDi S&S Allure 130,10/2021,Madrid,80.120 km,Diesel,C,12 meses,Manual,Todo Terreno,7 asientos,130 cv,5 Puertas,Blanco,19.490 €,"CLICARS MADRID
Profesional","Consumo medio
4,00
litros/100 km",No,2025-02-18 11:28:38.634857,ref15153710
CITROEN C3 Aircross BlueHDi S&S You 110,03/2024,Madrid,17.894 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Blanco,15.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:28:45.820720,ref15399537
VOLKSWAGEN ID.3 Style,12/2020,Madrid,84.241 km,Corriente eléctrica,0 EMISIONES,12 meses,Automático,Berlina,4 asientos,204 cv,5 Puertas,Negro,18.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:28:51.136084,ref15437930
AUDI Q2 35 TDI Adrenalin quattro S tronic 110kW,10/2024,Zaragoza,9 km,Diesel,C,24 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Negro / Metalizado,42.500 €,"AUDI CENTER ZARAGOZA
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:28:58.127705,ref15441778
AUDI A3 Sportback 40 TFSIe Advanced S tronic,06/2022,Madrid,22.798 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Berlina,5 asientos,204 cv,5 Puertas,Negro,27.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:29:03.668445,ref15414013
MINI Countryman COOPER S E ALL4,05/2020,Madrid,97.500 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Todo Terreno,5 asientos,224 cv,5 Puertas,-,22.500 €,"IGL MOTOR
Profesional","Consumo medio
2,10
litros/100 km",No,2025-02-18 11:29:10.565682,ref15441859
OPEL Corsa 1.3CDTI Business75,08/2018,Madrid,109.908 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,75 cv,5 Puertas,Blanco,8.990 €,"CLICARS MADRID
Profesional","Consumo medio
3,80
litros/100 km",No,2025-02-18 11:29:15.881186,ref15329792
KIA Sportage 1.6 CRDi Concept 4x2 115,03/2020,Granada,53.718 km,Diesel,C,Sí,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,-,19.890 €,"GARAJE MOTOR
Profesional","Consumo medio
4,90
litros/100 km",No,2025-02-18 11:29:22.383182,ref15403377
VOLKSWAGEN Golf 1.5 TSI Evo Sport DSG7 110kW,04/2018,Madrid,143.370 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Blanco,16.590 €,"CLICARS MADRID
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 11:29:27.241910,ref15334481
VOLKSWAGEN Tiguan 2.0TSI R-Line 200,09/2009,Toledo,218.600 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,200 cv,5 Puertas,Blanco / Metalizado,9.900 €,"FAN MOTOR
Profesional","Consumo medio
8,90
litros/100 km",No,2025-02-18 11:29:34.309769,ref15441860
VOLKSWAGEN Tiguan 1.5 TSI Advance DSG 110kW,01/2020,Barcelona,38.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris,28.400 €,"AUTOMOBILS GIL-CAR
Profesional","Consumo medio
5,60
litros/100 km",No,2025-02-18 11:29:40.591880,ref15441861
JAGUAR E-Pace 2.0D I4 S AWD Aut. 150,01/2019,Madrid,88.186 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Rojo / Metalizado,25.990 €,"CLICARS MADRID
Profesional","Consumo medio
6,00
litros/100 km",No,2025-02-18 11:29:45.775793,ref13069542
MG HS eHS 1.5 T-GDI Luxury,04/2023,Madrid,55.176 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Todo Terreno,5 asientos,162 cv,5 Puertas,Plateado / Metalizado,24.690 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:30:13.524473,ref15440134
BMW X5 xDrive 50e xLine M Sport Pro,01/2025,Barcelona,4.100 km,Híbrido Enchufable,0 EMISIONES,36 meses,Automático,Todo Terreno,5 asientos,489 cv,5 Puertas,M Brooklyn Grey,99.500 €,"DRIVER CARS BCN
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:30:20.095926,ref15441834
FORD Mondeo SB 2.0TDCI Titanium PowerShift 150,09/2018,Madrid,150.392 km,Diesel,C,12 meses,Automático,Stationwagon,5 asientos,150 cv,5 Puertas,Plateado / Metalizado,14.690 €,"CLICARS MADRID
Profesional","Consumo medio
4,90
litros/100 km",No,2025-02-18 11:30:26.779089,ref15325101
DS 7 Crossback E-Tense Rivoli Aut. 4x2,02/2023,Madrid,22.388 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Todo Terreno,5 asientos,225 cv,5 Puertas,Azul / Metalizado,38.750 €,"YAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:30:34.415023,ref15441803
MERCEDES-BENZ Clase A 200 d Compacto,04/2023,Navarra,20.110 km,Diésel,C,36 meses,Automático,,,150 cv,5 Puertas,-,39.900 €,"GAZPI MERCEDES-BENZ
Profesional",,Si,2025-02-18 11:30:41.171642,ref14764356
MERCEDES-BENZ Clase A 250 e AMG Line (EURO 6d),04/2020,Navarra,76.200 km,Diésel,C,24 meses,Automático,Pequeño,,160 cv,5 Puertas,-,29.990 €,"GAZPI MERCEDES-BENZ
Profesional",,Si,2025-02-18 11:30:46.542125,ref14875830
PEUGEOT 5008 SUV 1.5BlueHDi S&S Allure 130,10/2021,Madrid,80.120 km,Diesel,C,12 meses,Manual,Todo Terreno,7 asientos,130 cv,5 Puertas,Blanco,19.490 €,"CLICARS MADRID
Profesional","Consumo medio
4,00
litros/100 km",No,2025-02-18 11:30:53.975750,ref15153710
CITROEN C3 Aircross BlueHDi S&S You 110,03/2024,Madrid,17.894 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Blanco,15.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:31:00.844864,ref15399537
VOLKSWAGEN ID.3 Style,12/2020,Madrid,84.241 km,Corriente eléctrica,0 EMISIONES,12 meses,Automático,Berlina,4 asientos,204 cv,5 Puertas,Negro,18.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:31:05.864721,ref15437930
AUDI Q2 35 TDI Adrenalin quattro S tronic 110kW,10/2024,Zaragoza,9 km,Diesel,C,24 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Negro / Metalizado,42.500 €,"AUDI CENTER ZARAGOZA
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:31:12.096142,ref15441778
AUDI A3 Sportback 40 TFSIe Advanced S tronic,06/2022,Madrid,22.798 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Berlina,5 asientos,204 cv,5 Puertas,Negro,27.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:31:18.564168,ref15414013
MINI Countryman COOPER S E ALL4,05/2020,Madrid,97.500 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Todo Terreno,5 asientos,224 cv,5 Puertas,-,22.500 €,"IGL MOTOR
Profesional","Consumo medio
2,10
litros/100 km",No,2025-02-18 11:31:26.288503,ref15441859
OPEL Corsa 1.3CDTI Business75,08/2018,Madrid,109.908 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,75 cv,5 Puertas,Blanco,8.990 €,"CLICARS MADRID
Profesional","Consumo medio
3,80
litros/100 km",No,2025-02-18 11:31:32.769662,ref15329792
KIA Sportage 1.6 CRDi Concept 4x2 115,03/2020,Granada,53.718 km,Diesel,C,Sí,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,-,19.890 €,"GARAJE MOTOR
Profesional","Consumo medio
4,90
litros/100 km",No,2025-02-18 11:31:38.766288,ref15403377
VOLKSWAGEN Golf 1.5 TSI Evo Sport DSG7 110kW,04/2018,Madrid,143.370 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Blanco,16.590 €,"CLICARS MADRID
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 11:31:44.857449,ref15334481
VOLKSWAGEN Tiguan 2.0TSI R-Line 200,09/2009,Toledo,218.600 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,200 cv,5 Puertas,Blanco / Metalizado,9.900 €,"FAN MOTOR
Profesional","Consumo medio
8,90
litros/100 km",No,2025-02-18 11:31:52.382730,ref15441860
MERCEDES-BENZ Clase C 220 d Berlina,03/2024,Valencia,20.837 km,Diésel,,24 meses,Automático,Berlina mediana o grande,5 asientos,200 cv,4 Puertas,Gris grafito / Metalizado,45.900 €,"Valdisa Automotor10 Grupo Angal
Profesional",,Si,2025-02-18 11:32:24.361968,ref15403062
MERCEDES-BENZ Clase C 220 d,02/2024,Valencia,18.286 km,Diésel,,24 meses,Automático,Berlina mediana o grande,5 asientos,200 cv,4 Puertas,Gris grafito / Metalizado,48.500 €,"Valdisa Automotor10 Grupo Angal
Profesional",,Si,2025-02-18 11:32:29.906816,ref15325018
BMW Serie 3 M3,04/2001,Barcelona,260.000 km,Gasolina,B,No,Manual,Coupe,5 asientos,343 cv,2 Puertas,Gris / Metalizado,"29.990 €
3%
28.990 €","GARAGE CLASSIC CARS
Profesional","Consumo medio
11,90
litros/100 km",No,2025-02-18 11:32:36.342787,ref15275762
JAGUAR F-Pace 2.0i4D Portfolio Aut. AWD 180,10/2017,Lugo,127.260 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,180 cv,5 Puertas,Blanco,19.900 €,"DITRAMOTOR S.L.
Profesional","Consumo medio
5,30
litros/100 km",No,2025-02-18 11:32:44.474581,ref15391148
YOOUDOOO K3 70kW,02/2025,Sevilla,1 km,Corriente eléctrica,0 EMISIONES,96 meses,Automático,Todo Terreno,5 asientos,95 cv,5 Puertas,Blanco,23.990 €,"AUTO BOSS
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:32:50.218835,ref15441782
MERCEDES-BENZ Clase CLA 180,03/2023,Lugo,12.640 km,Gasolina,C,36 meses,Automático,Berlina mediana o grande,5 asientos,136 cv,4 Puertas,AZUL DENIM / Metalizado,36.900 €,"DITRAM AUTOMOCION MERCEDES-BENZ
Profesional",,Si,2025-02-18 11:33:00.210711,ref14851410
TOYOTA Aygo 1.0 70 X-PLAY CONNECT,02/2021,Madrid,20.000 km,Gasolina,C,No,Manual,Berlina mediana o grande,,- cv,5 Puertas,-,10.500 €,"TOYOTA KURUMA OCASIÓN Y SEMINUEVOS PLUS
Profesional",,Si,2025-02-18 11:33:05.362482,ref7138626
TOYOTA Corolla 125H Active Tech,11/2020,Madrid,60.000 km,Gasolina y corriente eléctrica,ECO,24 meses,Automático,Berlina,5 asientos,122 cv,5 Puertas,Rojo / Metalizado,21.490 €,"TOYOTA KURUMA OCASIÓN Y SEMINUEVOS PLUS
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:33:12.216027,ref15197974
LAND-ROVER Range Rover Evoque 1.5 I3 PHEV Dynamic SE AWD Auto,01/2024,Barcelona,4.900 km,Híbrido Enchufable,0 EMISIONES,60 meses,Automático,Todo Terreno,5 asientos,309 cv,5 Puertas,Seul Pearl,68.900 €,"QUADIS Landmotors
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:33:19.911590,ref12683683
CITROEN Berlingo M1 Berlina Manual de 3 Puertas,03/2018,Vizcaya,164.800 km,Diésel,,12 meses,Manual,Berlina mediana o grande,,100 cv,3 Puertas,Blanco,7.900 €,"MARKINA MOTOR CB
Profesional",,No,2025-02-18 11:33:27.185309,ref15441785
LAND-ROVER Discovery 3.0D I6 R-Dynamic S Aut. 300,03/2024,Barcelona,10.658 km,Diesel,ECO,24 meses,Automático,Todo Terreno,5 asientos,300 cv,5 Puertas,Gris,79.900 €,"QUADIS Landmotors
Profesional","Consumo medio
7,30
litros/100 km",No,2025-02-18 11:33:34.241251,ref15377363
HYUNDAI i10 1.0 MPI Tecno,02/2019,Alicante,45.081 km,Gasolina,C,Sí,Manual,Berlina,5 asientos,66 cv,5 Puertas,Gris,10.900 €,"WALLSCAR MULTIMARCA GRUPO PAREDES AUTOMOCION
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:33:40.932042,ref15441848
FORD Kuga 1.5 EcoBoost ST-Line X FWD 150,01/2023,Cádiz,16.700 km,Gasolina,C,Sí,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Negro,30.990 €,"Motores Cádiz, concesionario oficial Ford
Profesional","Consumo medio
5,50
litros/100 km",Si,2025-02-18 11:33:47.387007,ref12458496
BMW X1 sDrive 18dA,12/2016,Alicante,87.636 km,Diesel,C,Sí,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,21.900 €,"WALLSCAR MULTIMARCA GRUPO PAREDES AUTOMOCION
Profesional","Consumo medio
4,30
litros/100 km",No,2025-02-18 11:33:54.496249,ref15441847
FIAT 500 1.2 Lounge,05/2016,Alicante,85.121 km,Gasolina,C,Sí,Manual,Berlina,4 asientos,69 cv,3 Puertas,Negro,9.300 €,"WALLSCAR MULTIMARCA GRUPO PAREDES AUTOMOCION
Profesional","Consumo medio
5,10
litros/100 km",No,2025-02-18 11:34:00.813255,ref15441846
